"","CustomerID","average_order_value","number_orders","total_order_value","cohort2010.12.01","cohort2011.01.01","cohort2011.02.01","cohort2011.03.01","cohort2011.04.01","cohort2011.05.01","cohort2011.06.01","cohort2011.07.01","cohort2011.08.01","cohort2011.09.01","cohort2011.10.01","cohort2011.11.01","cohort2011.12.01","order_1","order_2","order_3","order_4","order_5","order_6","order_7","order_8","order_9","order_10","order_11","order_12","order_13","order_14","order_15","order_16","CountryAustralia","CountryAustria","CountryBahrain","CountryBelgium","CountryBrazil","CountryCanada","CountryChannel.Islands","CountryCyprus","CountryCzech.Republic","CountryDenmark","CountryEIRE","CountryEuropean.Community","CountryFinland","CountryFrance","CountryGermany","CountryGreece","CountryIceland","CountryIsrael","CountryItaly","CountryJapan","CountryLebanon","CountryLithuania","CountryMalta","CountryNetherlands","CountryNorway","CountryPoland","CountryPortugal","CountryRSA","CountrySaudi.Arabia","CountrySingapore","CountrySpain","CountrySweden","CountrySwitzerland","CountryUnited.Arab.Emirates","CountryUnited.Kingdom","CountryUnspecified","CountryUSA","top.selling.purchase"
"1",12347,5.8653464244965,7,2461.23,1,0,0,0,0,0,0,0,0,0,0,0,0,4.59167959580559,6.67362661160917,5.37416667883147,5.55202891942866,6.05678401322862,5.56409886254648,6.03284638488675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103
"2",12348,5.5269259572933,4,1001.48,1,0,0,0,0,0,0,0,0,0,0,0,0,5.08140436498446,5.90808293816893,4.83850166368979,5.85850441985175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
"3",12349,7.04109665355437,1,1141.64,0,0,0,0,0,0,0,0,0,0,0,1,0,7.04109665355437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
"4",12350,5.22843123908387,1,185.5,0,0,1,0,0,0,0,0,0,0,0,0,0,5.22843123908387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9
"5",12352,5.40191132275814,8,1766.64,0,0,1,0,0,0,0,0,0,0,0,0,0,5.38417391030772,5.16192474164248,5.66348117788268,4.81890965722701,4.66654746566299,6.33016643905646,4.97914462700489,5.05815481006423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,58
"6",12353,3.65325227647079,1,37.6,0,0,0,0,0,1,0,0,0,0,0,0,0,3.65325227647079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"7",12354,6.37925775630513,1,588.49,0,0,0,0,1,0,0,0,0,0,0,0,0,6.37925775630513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,31
"8",12355,5.7261960694931,1,305.8,0,0,0,0,0,1,0,0,0,0,0,0,0,5.7261960694931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"9",12356,6.56555131401154,3,2127.61,0,1,0,0,0,0,0,0,0,0,0,0,0,3.27714473299218,5.91271891453539,7.45841681124533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,39
"10",12357,8.26761839196043,1,3894.66,0,0,0,0,0,0,0,0,0,0,0,1,0,8.26761839196043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,81
"11",12358,5.84357340211853,2,688.02,0,0,0,0,0,0,0,1,0,0,0,0,0,5.74671424203971,5.93187376569434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
"12",12359,6.7517503811547,4,3418.22,0,1,0,0,0,0,0,0,0,0,0,0,0,7.28248622772044,6.63176459511994,6.91294180566944,5.31615728467637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151
"13",12360,6.17417491719314,3,1437.56,0,0,0,0,0,1,0,0,0,0,0,0,0,6.26795927391919,5.93187376569434,6.28469370598888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79
"14",12361,5.07141676635611,1,158.4,0,0,1,0,0,0,0,0,0,0,0,0,0,5.07141676635611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"15",12362,5.68319533971435,10,2928.87,0,0,1,0,0,0,0,0,0,0,0,0,0,5.84944004707856,5.28472541302857,5.48421585183233,6.12073688281212,5.30529298028446,6.25601871966774,5.41685567247157,5.2008147851868,5.61546114914944,5.68595788974365,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153
"16",12363,5.37989735354046,2,432,0,0,0,0,1,0,0,0,0,0,0,0,0,5.37851390854231,5.38127888726238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16
"17",12364,5.33107493078621,4,822.64,0,0,0,0,0,0,0,0,1,0,0,0,0,4.98866231328585,5.42221500320427,4.18661983833127,5.96028342962441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49
"18",12365,5.5472845978717,1,255.54,0,0,1,0,0,0,0,0,0,0,0,0,0,5.5472845978717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
"19",12367,4.83469334426634,1,124.8,0,0,0,0,0,0,0,0,0,0,0,0,1,4.83469334426634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"20",12370,6.27206063567028,4,2114.27,1,0,0,0,0,0,0,0,0,0,0,0,0,5.95407415788942,6.39440981642068,5.01263329675893,6.89178848546006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97
